,responsibility_metric,responsibility_column,w_responsibility,capacity_metric,capacity_column,w_capacity,needs_metric,needs_column,w_needs,engagement_metric,engagement_column,w_engagement
RUN15,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.4
RUN16,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.3
RUN17,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN_Index,0.2
RUN18,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN_Index,0.1
RUN19,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.4
RUN20,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.3
RUN21,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.2
RUN22,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN_Index,0.1
RUN23,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.3
RUN24,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.2
RUN25,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.1
RUN26,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.6,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.2
RUN27,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.6,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.1
RUN28,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.7,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN29,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.6
RUN30,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.5
RUN31,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.4
RUN32,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN_Index,0.3
RUN33,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN_Index,0.2
RUN34,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.6,UN Multilateral Engagement Score,UN_Index,0.1
RUN35,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.5
RUN36,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.4
RUN37,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.3
RUN38,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN_Index,0.2
RUN39,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN_Index,0.1
RUN40,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.4
RUN41,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.3
RUN42,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.2
RUN43,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN_Index,0.1
RUN44,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.3
RUN45,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.2
RUN46,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.1
RUN47,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.2
RUN48,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.1
RUN49,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.6,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN50,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.5
RUN51,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.4
RUN52,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.3
RUN53,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN_Index,0.2
RUN54,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.5,UN Multilateral Engagement Score,UN_Index,0.1
RUN55,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.4
RUN56,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.3
RUN57,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.2
RUN58,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN_Index,0.1
RUN59,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.3
RUN60,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.2
RUN61,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.1
RUN62,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.2
RUN63,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.1
RUN64,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.5,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN65,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.4
RUN66,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.3
RUN67,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.2
RUN68,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.4,UN Multilateral Engagement Score,UN_Index,0.1
RUN69,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.3
RUN70,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.2
RUN71,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.1
RUN72,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.2
RUN73,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.1
RUN74,Cumulative Emissions since 1850,X1850_2024,0.4,Gross National Income,GNI,0.4,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN75,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.3
RUN76,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.2
RUN77,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.3,UN Multilateral Engagement Score,UN_Index,0.1
RUN78,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.2
RUN79,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.1
RUN80,Cumulative Emissions since 1850,X1850_2024,0.5,Gross National Income,GNI,0.3,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN81,Cumulative Emissions since 1850,X1850_2024,0.6,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.2
RUN82,Cumulative Emissions since 1850,X1850_2024,0.6,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.2,UN Multilateral Engagement Score,UN_Index,0.1
RUN83,Cumulative Emissions since 1850,X1850_2024,0.6,Gross National Income,GNI,0.2,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN84,Cumulative Emissions since 1850,X1850_2024,0.7,Gross National Income,GNI,0.1,Climate Risk and Vulnerability Index,GAIN_CR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN85,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.7
RUN86,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.6
RUN87,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.5
RUN88,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.4
RUN89,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN_Index,0.3
RUN90,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.6,UN Multilateral Engagement Score,UN_Index,0.2
RUN91,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.7,UN Multilateral Engagement Score,UN_Index,0.1
RUN92,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.6
RUN93,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.5
RUN94,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.4
RUN95,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.3
RUN96,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN_Index,0.2
RUN97,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.6,UN Multilateral Engagement Score,UN_Index,0.1
RUN98,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.5
RUN99,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.4
RUN100,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.3
RUN101,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.2
RUN102,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN_Index,0.1
RUN103,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.4,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.4
RUN104,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.4,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.3
RUN105,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.4,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.2
RUN106,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.4,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.1
RUN107,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.5,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.3
RUN108,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.5,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.2
RUN109,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.5,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.1
RUN110,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.6,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.2
RUN111,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.6,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.1
RUN112,Cumulative Emissions since 1850,X1850_2024,0.1,Gross National Income,GNI,0.7,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN113,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.6
RUN114,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.5
RUN115,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.4
RUN116,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.3
RUN117,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN_Index,0.2
RUN118,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.6,UN Multilateral Engagement Score,UN_Index,0.1
RUN119,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.5
RUN120,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.4
RUN121,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.3
RUN122,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.2
RUN123,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN_Index,0.1
RUN124,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.4
RUN125,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.3
RUN126,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.2
RUN127,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.1
RUN128,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.4,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.3
RUN129,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.4,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.2
RUN130,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.4,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.1
RUN131,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.5,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.2
RUN132,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.5,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.1
RUN133,Cumulative Emissions since 1850,X1850_2024,0.2,Gross National Income,GNI,0.6,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.1
RUN134,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.5
RUN135,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.4
RUN136,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.3
RUN137,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.2
RUN138,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.1,Physical Climate Risk (EIB),EIB_PR,0.5,UN Multilateral Engagement Score,UN_Index,0.1
RUN139,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.4
RUN140,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.3
RUN141,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.3,UN Multilateral Engagement Score,UN_Index,0.2
RUN142,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.2,Physical Climate Risk (EIB),EIB_PR,0.4,UN Multilateral Engagement Score,UN_Index,0.1
RUN143,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.1,UN Multilateral Engagement Score,UN_Index,0.3
RUN144,Cumulative Emissions since 1850,X1850_2024,0.3,Gross National Income,GNI,0.3,Physical Climate Risk (EIB),EIB_PR,0.2,UN Multilateral Engagement Score,UN_Index,0.2
